SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,FreightRateType,FreightPercent,FreightAmount,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475
GGUARD-SAP,Deluxe Grill Guard,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,19.08,,GGUARD-SAP,398,,,Accessory, ,0,0,T,,,,,,,,326,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,T,T,,,,,,,,,,,,,,,
GGUARD-YT2P,Grille Guard,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,19.2,,GGUARD-YT2P,399,,,Accessory, ,0,0,T,,,,,,,,327,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
GGUARD-YT3P,Grille Guard,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,19.2,,GGUARD-YT3P,399,,,Accessory, ,0,0,T,,,,,,,,328,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
HTDSEAT-YT3P,Seat Heater,T,200,F,2,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,16.56,,HTDSEAT-YT3P,345,,,Accessory, ,0,0,T,,,,,,,,329,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,T,,,,,,,,,
LEVLIND-YM2P,Level Indicator,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,5.1,,LEVLIND-YM2P,106,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,
MIRLKIT-YT2P,Mirror Kit - Left,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.74,,MIRLKIT-YT2P,98,,,Accessory, ,0,0,T,,,,,,,,331,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
MIRLKIT-YT3P,Mirror Kit - Left,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.74,,MIRLKIT-YT3P,98,,,Accessory, ,0,0,T,,,,,,,,332,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,
MIRRKIT-YT2P,Mirror Kit - Right,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.74,,MIRRKIT-YT2P,98,,,Accessory, ,0,0,T,,,,,,,,333,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,
MIRRKIT-YT3P,Mirror Kit - Right,T,50,F,0.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,4.74,,MIRRKIT-YT3P,98,,,Accessory, ,0,0,T,,,,,,,,334,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,
MLFHKIT-YT2P,Hydraulic Lift Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,28.98,,MLFHKIT-YT2P,604,,,Accessory, ,0,0,T,,,,,,,,335,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBK65-SAP,Power Beyond Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,19.68,,PBK65-SAP,410,,,Accessory, ,0,0,T,,,,,,,,336,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T, ,T,T,,,,,,,,,,,,,,,,
PBK75A-YT2P,Power Beyond Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,16.98,,PBK75A-YT2P,353,,,Accessory, ,0,0,T,,,,,,,,337,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
PBK75-YM2P,Power Beyond Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,11.46,,PBK75-YM2P,239,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,
PBK75-YT2P,Power Beyond Kit,F,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,16.98,,PBK75-YT2P,353,,,Accessory, ,0,0,T,,,,,,,,339,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,
PBK85-YM3P,Power Beyond Kit,T,250,F,2.5,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,16.98,,PBK85-YM3P,354,,,Accessory, ,0,0,T,,,,,,,,340,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,T,T,,,
R3KIT-SA221P,Turf Tire Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,45.96,,R3KIT-SA221P,958,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,
R3KIT-SA324P,Turf Tire Kit,T,100,F,1,YANMAR,Accessories,,T,T,T,YANMAR-ACCESSORY,Percent,0.06,75.12,,R3KIT-SA324P,1565,,,Accessory, ,0,0,T,,,,,,,,,,,Accessory,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,
