ParentSKU,Description,Active,DeliveryGroup,SortOrder,Notes,BatterySKU1,BatteryQty1,BatterySKU2,BatteryQty2,BatterySKU3,BatteryQty3,ChargerSKU1,ChargerQty1,ChargerSKU2,ChargerQty2,ChargerSKU3,ChargerQty3,AttachmentSKU1,AttachmentQty1,AttachmentSKU2,AttachmentQty2,AttachmentSKU3,AttachmentQty3,AccessorySKU1,AccessoryQty1,PartSKU1,PartQty1
SA325BT-L,Yanmar SA325BT-L Compact Tractor,T,CUT,53,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,
SA325BI-LD,Yanmar SA325BI-LD Compact Tractor,T,CUT,54,,,,,,,,,,,,,,YL210-SAP,1,M60FB-SA24P,1,,,,,,
SA325BT-LD,Yanmar SA325BT-LD Compact Tractor,T,CUT,55,,,,,,,,,,,,,,YL210-SAP,1,M60FB-SA24P,1,,,,,,
SA325BI-LB,Yanmar SA325BI-LB Compact Tractor,T,CUT,56,,,,,,,,,,,,,,YL210-SAP,1,B65A-SAP-KIT,1,BBUCKET16-B75P,1,,,,
SA325BT-LB,Yanmar SA325BT-LB Compact Tractor,T,CUT,57,,,,,,,,,,,,,,YL210-SAP,1,B65A-SAP-KIT,1,BBUCKET16-B75P,1,,,,
SA425BI-D,Yanmar SA425BI-D Compact Tractor,T,CUT,62,,,,,,,,,,,,,,M60FB-SA24P,1,,,,,,,,
SA425BT-D,Yanmar SA425BT-D Compact Tractor,T,CUT,63,,,,,,,,,,,,,,M60FB-SA24P,1,,,,,,,,
SA425BI-L,Yanmar SA425BI-L Compact Tractor,T,CUT,64,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,
SA425BT-L,Yanmar SA425BT-L Compact Tractor,T,CUT,65,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,
SA425BI-LD,Yanmar SA425BI-LD Compact Tractor,T,CUT,66,,,,,,,,,,,,,,YL210-SAP,1,M60FB-SA24P,1,,,,,,
SA425BT-LD,Yanmar SA425BT-LD Compact Tractor,T,CUT,67,,,,,,,,,,,,,,YL210-SAP,1,M60FB-SA24P,1,,,,,,
SA425BI-LB,Yanmar SA425BI-LB Compact Tractor,T,CUT,68,,,,,,,,,,,,,,YL210-SAP,1,B65A-SAP-KIT,1,BBUCKET16-B75P,1,,,,
SA425BT-LB,Yanmar SA425BT-LB Compact Tractor,T,CUT,69,,,,,,,,,,,,,,YL210-SAP,1,B65A-SAP-KIT,1,BBUCKET16-B75P,1,,,,
SA425BI-DX,Yanmar SA425BI-DX Compact Tractor,T,CUT,74,,,,,,,,,,,,,,M60FB-SA24P,1,,,,,,,,
SA425BT-DX,Yanmar SA425BT-DX Compact Tractor,T,CUT,75,,,,,,,,,,,,,,M60FB-SA24P,1,,,,,,,,
SA425BI-LX,Yanmar SA425BI-LX Compact Tractor,T,CUT,76,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,
SA425BT-LX,Yanmar SA425BT-LX Compact Tractor,T,CUT,77,,,,,,,,,,,,,,YL210-SAP,1,,,,,,,,
SA425BI-LDX,Yanmar SA425BI-LDX Compact Tractor,T,CUT,78,,,,,,,,,,,,,,YL210-SAP,1,M60FB-SA24P,1,,,,,,
SA425BT-LDX,Yanmar SA425BT-LDX Compact Tractor,T,CUT,79,,,,,,,,,,,,,,YL210-SAP,1,M60FB-SA24P,1,,,,,,
YM225GXA-TL,Yanmar YM225GXA-TL Compact Tractor,T,CUT,103,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM225GXA-TLB,Yanmar YM225GXA-TLB Compact Tractor,T,CUT,104,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM225GXI-TL,Yanmar YM225GXI-TL Compact Tractor,T,CUT,106,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM225GXI-TLB,Yanmar YM225GXI-TLB Compact Tractor,T,CUT,107,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM225GXT-TL,Yanmar YM225GXT-TL Compact Tractor,T,CUT,109,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM225GXT-TLB,Yanmar YM225GXT-TLB Compact Tractor,T,CUT,110,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM232GXA-TL,Yanmar YM232GXA-TL Compact Tractor,T,CUT,114,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM232GXA-TLB,Yanmar YM232GXA-TLB Compact Tractor,T,CUT,115,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM232GXI-TL,Yanmar YM232GXI-TL Compact Tractor,T,CUT,117,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM232GXI-TLB,Yanmar YM232GXI-TLB Compact Tractor,T,CUT,118,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM232GXT-TL,Yanmar YM232GXT-TL Compact Tractor,T,CUT,120,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM232GXT-TLB,Yanmar YM232GXT-TLB Compact Tractor,T,CUT,121,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
YM238GXA-TL,Yanmar YM238GXA-TL Compact Tractor,T,CUT,125,,,,,,,,,,,,,,YL405-YM2P,1,,,,,,,,
YM238GXA-TLB,Yanmar YM238GXA-TLB Compact Tractor,T,CUT,126,,,,,,,,,,,,,,YL405-YM2P,1,B75A-YM2P-KIT,1,BBUCKET16-B75P,1,,,,
