SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredEngineHPMin,RequiredEngineHPMax,RequiredPTOHPMin,RequiredPTOHPMax,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10
YDH105,Yanmar YDH105 - 5' Disc Harrow,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YDH105,2205,,Attachment,,0,0,T,,,,,,,Tarter,454,,Disc Harrow,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDH206,Yanmar YDH206 - 6' Disc Harrow,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YDH206,2355,,Attachment,,0,0,T,,,,,,,Tarter,455,,Disc Harrow,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YDH307,Yanmar YDH307 - 7' Disc Harrow,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YDH307,3556,,Attachment,,0,0,T,,,,,,,Tarter,456,,Disc Harrow,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFC201,Yanmar YFC201 - 1 Row Field Cultivator,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YFC201,625,,Attachment,,0,0,T,,,,,,,Tarter,458,,Cultivator,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFM205,Yanmar YFM205 - 5' Finish Mower,T,200,T,2,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YFM205,3440,,Attachment,,0,0,T,,,,,,,Tarter,444,,Mower,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFM206,Yanmar YFM206 - 6' Finish Mower,T,200,T,2,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YFM206,3807,,Attachment,,0,0,T,,,,,,,Tarter,445,,Mower,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YFS20,Yanmar YFS20 Fertilizer Spreader,T,200,T,2,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YFS20,1116,,Attachment,,0,0,T,,,,,,,Tarter,488,,Spreader,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGB104,Yanmar YGB104 - 4' Grader Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YGB104,864,,Attachment,,0,0,T,,,,,,,Tarter,467,,Grader Blade,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGB205,Yanmar YGB205 - 5' Grader Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YGB205,990,,Attachment,,0,0,T,,,,,,,Tarter,468,,Grader Blade,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGB206,Yanmar YGB206 - 6' Grader Blade,T,100,T,1,YANMAR,Attachments,,T,T,T,Tarter Attachment,,YGB206,1114,,Attachment,,0,0,T,,,,,,,Tarter,469,,Grader Blade,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
