SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,WarrantyResidentialUse,WarrantyCommercialUse,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10,ImageURL,InventoryURL,ManualURL,ProductURL,Notes
YM232GXT,Yanmar YM232GXT Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXT,24999,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM232,119,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXT-TL,Yanmar YM232GXT-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXT-TL,33299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM232,120,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM232GXT-TLB,Yanmar YM232GXT-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM232GXT-TLB,49699,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM232,121,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXA,Yanmar YM238GXA Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXA,27099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM238,124,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXA-TL,Yanmar YM238GXA-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXA-TL,36299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM238,125,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXA-TLB,Yanmar YM238GXA-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXA-TLB,52699,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM238,126,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXI,Yanmar YM238GXI Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXI,27099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM238,127,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXI-TL,Yanmar YM238GXI-TL Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXI-TL,36299,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,1900,,,,YM238,128,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXI-TLB,Yanmar YM238GXI-TLB Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXI-TLB,52699,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,2200,,,,YM238,129,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YM238GXT,Yanmar YM238GXT Compact Tractor,T,0,T,0,YANMAR,Compact Tractors,CUT,T,T,T,YM,T,YM238GXT,27099,Diesel,Tool,,0,0,T,2026-09-30,2026-08-01,500,,,,YM238,130,,,YM,T,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
