SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,RequiredEngineHPMin,RequiredEngineHPMax,RequiredPTOHPMin,RequiredPTOHPMax,RequiredSKU1,RequiredSKU1Qty,SKU1Requires1,SKU1Requires1Qty,SKU1Requires2,SKU1Requires2Qty,RequiredSKU2,RequiredSKU2Qty,SKU2Requires1,SKU2Requires1Qty,SKU2Requires2,SKU2Requires2Qty,RequiredSKU3,RequiredSKU3Qty,SKU3Requires1,SKU3Requires1Qty,SKU3Requires2,SKU3Requires2Qty,RequiredSKU4,RequiredSKU4Qty,SKU4Requires1,SKU4Requires1Qty,SKU4Requires2,SKU4Requires2Qty,YZ252,YZ260,YZ360,YZ372,YZ460,YZ472,GROUP_SA223,SA223KBH-L,GROUP_SA325,GROUP_SA425,GROUP_SA425DHX,GROUP_YT235,GROUP_YT235C,GROUP_YT347,GROUP_YT347C,GROUP_YT359,GROUP_YT359C,GROUP_YM225,GROUP_YM232,GROUP_YM238,GROUP_YM342,GROUP_YM347,GROUP_YM359,GROUP_SM240,GROUP_SM240H,GROUP_SM475,WeightLb,WeightKg,Weight,WeightUnit,SpecLabel1,SpecValue1,SpecLabel2,SpecValue2,SpecLabel3,SpecValue3,SpecLabel4,SpecValue4,SpecLabel5,SpecValue5,SpecLabel6,SpecValue6,SpecLabel7,SpecValue7,SpecLabel8,SpecValue8,SpecLabel9,SpecValue9,SpecLabel10,SpecValue10
BBUCKET12-B85P,"12"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET12-B85P,1003,,Attachment, ,0,0,T,,,,,,,,265,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,T,T,T,T,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET16-B75P,"16"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET16-B75P,893,,Attachment, ,0,0,T,,,,,,,,266,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,, , ,T,T,T,T,T,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET18-B75P,"18"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET18-B75P,954,,Attachment, ,0,0,T,,,,,,,,267,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET18-B85P,"18"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET18-B85P,1198,,Attachment, ,0,0,T,,,,,,,,268,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET24-B75P,"24"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET24-B75P,1013,,Attachment, ,0,0,T,,,,,,,,269,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,T,T,T,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET24-B85P,"24"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET24-B85P,1360,,Attachment, ,0,0,T,,,,,,,,270,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBUCKET9-B75P,"9"" Bucket",T,0,T,0,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,BBUCKET9-B75P,638,,Attachment, ,0,0,T,,,,,,,,271,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,T,F,T,T,T,T,T,,,,,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BS620SK,Bed Shaper ,T,200,T,2,YANMAR,Attachments, ,T,T,T,YANMAR-ATTACHMENT,F,BS620SK,5813, ,Attachment,,0,0,T,,,,,,,,253,,,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANOPY-YMP,Canopy,T,100,T,1,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,CANOPY-YMP,1124,,Attachment, ,0,0,T,,,,,,,,272,,Canopies,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANOPY-YT3P,Deluxe Canopy,T,100,T,1,YANMAR,Attachments,,T,T,T,YANMAR-ATTACHMENT,,CANOPY-YT3P,1568,,Attachment, ,0,0,T,,,,,,,,273,,Canopies,Attachment,T,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,, , , , , , ,,,,,,,,,,,,T,,T,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
